XLogP,GATS1s,GATS1m,GATS1e,GATS1p,GATS1i,GATS2e,GATS1v,GATS1c,SIC0,ZMIC3,piPC7,piPC5,nAcid,nHBAcc,nHBDon,median_WS,Standardized_SMILES,Train_Test
0.936498195,-0.970369851,-0.480993468,-0.87754088,-0.745283656,-0.937635223,-1.083566638,-0.766022714,-0.008894638,-0.206036533,0.715793736,0.550311656,0.611527635,-0.348024965,-0.021412027,-0.046488214,-2.271499918,O=C(NC(=O)C1C=CC=CC=1)C1C=CC=CC=1,Train
0.342767497,-1.043955272,-1.473960954,-1.022654024,-1.33531724,-0.720438504,-0.192274866,-1.200826876,-1.193408385,1.140815093,-0.023417476,0.629892197,0.54105096,-0.348024965,-0.021412027,-0.789426165,-3.38217158,O=C1C(Cl)=C(Cl)C=NN1C1C=CC=CC=1,Train
0.067360258,-1.179477704,-0.3860456,-1.366301756,-0.623349901,-1.118629528,-0.174790268,-0.567204485,-2.592873164,0.168600659,-0.4724554,-0.233874916,0.054377561,-0.348024965,-0.776753356,-0.789426165,-1.201546042,O=CC1C=CC=CC=1,Train
-0.86294174,-0.327086129,-0.136439709,-1.041725699,0.480662987,0.082137955,-0.878888497,-0.522814704,0.179127103,0.878502206,0.221783768,0.683945107,0.603032991,-0.348024965,1.111599966,-0.046488214,-3.128816238,NS(=O)(=O)CCN1C(=O)C2=CC=CC=C2C1=O,Train
-0.273941964,-0.718723382,-1.606037263,-2.058296525,-0.684826975,-0.542332493,-0.642153717,-0.469959289,-1.977194428,1.092922661,0.815359422,0.868703215,0.804197302,-0.348024965,-0.776753356,-0.789426165,-3.55945,CN(C1C(=CC(=CC=1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,Train
0.270451977,-0.745112404,1.066870533,-1.053289079,0.32287451,-0.128664138,-0.761364264,0.685386393,-1.043252727,-1.13720028,-0.679812575,-0.239274605,-0.134682466,-0.348024965,-0.776753356,-0.789426165,-3.137855765,CC1=CCCC(C)(C)C1C(=O)C=CC,Train
-0.88220335,-0.736687711,-0.528974602,-0.971421663,0.176783471,-0.146645934,0.326669794,-0.136313957,-1.719927041,-0.375495422,0.143752699,0.996575271,0.813044667,-0.348024965,1.48927063,-0.789426165,-3.621009621,CS(=O)(=O)C1C=CC(=C(Cl)C=1COCC1CCCO1)C(=O)C1C(=O)CCCC1=O,Train
-0.9622911,-0.346556313,-0.272099695,-0.077102806,1.235339462,1.567775014,0.341584148,0.246559784,0.574243576,0.34616846,0.325179555,0.797991901,0.862174453,-0.348024965,2.999953287,0.696449737,-4.456070632,CCOC(=O)C1C=NN(C)C=1S(=O)(=O)NC(=O)NC1N=C(C=C(N=1)OC)OC,Train
-1.2062715,0.709683034,1.035585629,0.910593099,2.610406131,2.489694116,2.711376861,2.166632347,-0.764023091,0.393233611,-1.031553132,-1.781370794,-2.462422047,-0.348024965,-0.399082692,-0.046488214,1.119257755,COCCO,Train
-1.608737784,0.103274408,-0.797477805,-0.455746566,1.583106031,1.7418807,0.15156778,0.521557783,0.944163027,2.549494845,-0.456843114,-1.781370794,-1.509594359,-0.348024965,-0.021412027,-0.789426165,0.221406638,O=S1OCCO1,Train
